,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
0,hasaki,2112802,01 Apr 2019,35.73,140.83,JP,35.6,20,93,2.24
1,fairbanks,5861897,01 Apr 2019,64.84,-147.72,US,42.01,1,64,4.7
2,airai,1651810,01 Apr 2019,-8.93,125.41,TL,66.94,24,89,1.25
3,balkanabat,161616,01 Apr 2019,39.51,54.36,TM,49.48,20,95,8.23
4,lagoa,2267254,01 Apr 2019,37.14,-8.45,PT,61.0,20,82,13.87
5,la paz,4000900,01 Apr 2019,24.15,-110.32,MX,88.0,5,17,11.41
6,wanning,3220813,01 Apr 2019,48.64,13.53,AT,50.0,0,77,9.17
7,nhulunbuy,2064735,01 Apr 2019,-12.18,136.78,AU,77.0,90,100,4.7
8,khandyga,2022773,01 Apr 2019,62.65,135.58,RU,1.78,0,67,2.53
9,khanna,1267016,01 Apr 2019,30.7,76.22,IN,62.35,0,77,2.75
10,atuona,4020109,01 Apr 2019,-9.8,-139.03,PF,80.35,76,100,10.36
11,rikitea,4030556,01 Apr 2019,-23.12,-134.97,PF,76.48,0,100,15.39
12,honiara,2108502,01 Apr 2019,-9.43,159.96,SB,78.19,44,91,2.71
13,ushuaia,3833367,01 Apr 2019,-54.81,-68.31,AR,53.6,75,87,5.28
14,qaanaaq,3831208,01 Apr 2019,77.48,-69.36,GL,1.96,8,86,7.78
15,nome,4732862,01 Apr 2019,30.04,-94.42,US,59.0,90,41,10.29
16,mataura,6201424,01 Apr 2019,-46.19,168.86,NZ,48.99,92,85,1.01
17,waipawa,2185329,01 Apr 2019,-39.94,176.59,NZ,57.0,32,80,9.8
18,jamestown,2069194,01 Apr 2019,-33.21,138.6,AU,42.1,0,83,4.61
19,yima,1786676,01 Apr 2019,34.75,111.87,CN,43.72,88,65,3.49
20,salalah,286621,01 Apr 2019,17.01,54.1,OM,80.6,40,74,5.82
21,chokurdakh,2126123,01 Apr 2019,70.62,147.9,RU,-0.66,0,67,4.32
22,hobart,2163355,01 Apr 2019,-42.88,147.33,AU,45.0,20,87,11.41
23,port alfred,964432,01 Apr 2019,-33.59,26.89,ZA,62.01,92,84,4.0
24,yellowknife,6185377,01 Apr 2019,62.45,-114.38,CA,21.2,40,57,23.04
25,victoria,1733782,01 Apr 2019,5.28,115.24,BN,77.0,75,88,1.12
26,east london,1006984,01 Apr 2019,-33.02,27.91,ZA,66.31,32,100,24.34
27,labuhan,1641899,01 Apr 2019,-2.54,115.51,ID,71.35,24,97,2.19
28,faanui,4034551,01 Apr 2019,-16.48,-151.75,PF,82.78,68,100,6.33
29,tiksi,2015306,01 Apr 2019,71.64,128.87,RU,4.48,8,69,2.53
30,ribeira grande,3372707,01 Apr 2019,38.52,-28.7,PT,57.2,40,71,16.11
31,hermanus,3366880,01 Apr 2019,-34.42,19.24,ZA,57.99,12,59,5.99
32,busselton,2075265,01 Apr 2019,-33.64,115.35,AU,62.01,24,66,8.01
33,los llanos de aridane,2514651,01 Apr 2019,28.66,-17.92,ES,59.0,90,87,12.75
34,syracuse,5140405,01 Apr 2019,43.05,-76.15,US,39.0,20,37,13.87
35,santa maria,3450083,01 Apr 2019,-29.69,-53.81,BR,87.8,20,58,9.17
36,bredasdorp,1015776,01 Apr 2019,-34.53,20.04,ZA,62.44,80,95,9.01
37,saint-philippe,6138908,01 Apr 2019,45.36,-73.48,CA,37.99,1,34,8.05
38,butaritari,2110227,01 Apr 2019,3.07,172.79,KI,83.5,56,100,11.25
39,avarua,4035715,01 Apr 2019,-21.21,-159.78,CK,80.6,76,74,10.29
40,georgetown,3378644,01 Apr 2019,6.8,-58.16,GY,89.6,40,52,8.63
41,lompoc,5367788,01 Apr 2019,34.64,-120.46,US,79.0,75,50,10.29
42,hithadhoo,1282256,01 Apr 2019,-0.6,73.08,MV,83.23,92,100,6.85
43,kaeo,2189343,01 Apr 2019,-35.1,173.78,NZ,62.01,20,96,5.01
44,petropavlovsk-kamchatskiy,2122104,01 Apr 2019,53.05,158.65,RU,28.4,40,92,4.47
45,leningradskiy,2123814,01 Apr 2019,69.38,178.42,RU,15.73,64,96,12.59
46,shache,1280037,01 Apr 2019,38.42,77.24,CN,50.0,0,29,3.2
47,dharmavaram,1272842,01 Apr 2019,14.41,77.72,IN,69.91,0,83,4.5
48,port blair,1259385,01 Apr 2019,11.67,92.75,IN,83.68,8,100,4.32
49,vetluga,473910,01 Apr 2019,57.85,45.78,RU,22.21,0,79,4.21
50,gabu,1791785,01 Apr 2019,34.78,103.0,CN,27.52,92,89,4.54
51,bluff,2175403,01 Apr 2019,-23.58,149.07,AU,62.62,0,79,9.64
52,kaitangata,2208248,01 Apr 2019,-46.28,169.85,NZ,46.0,92,81,5.99
53,nikolskoye,546105,01 Apr 2019,59.7,30.79,RU,35.01,0,69,8.95
54,punta arenas,3874787,01 Apr 2019,-53.16,-70.91,CL,55.4,90,93,5.82
55,kichera,2022129,01 Apr 2019,55.93,110.1,RU,12.94,80,70,0.51
56,chuy,3443061,01 Apr 2019,-33.69,-53.46,UY,73.33,20,80,8.23
57,vaini,1273574,01 Apr 2019,15.34,74.49,IN,66.49,0,91,1.07
58,arraial do cabo,3471451,01 Apr 2019,-22.97,-42.02,BR,80.6,0,61,3.36
59,sao joao da barra,3448903,01 Apr 2019,-21.64,-41.05,BR,78.8,75,65,13.87
60,salinas,5391295,01 Apr 2019,36.67,-121.66,US,73.99,1,43,9.17
61,tuatapere,2180815,01 Apr 2019,-46.13,167.69,NZ,48.99,92,85,1.01
62,adoni,1279335,01 Apr 2019,15.63,77.27,IN,75.94,36,62,7.0
63,san cristobal,3652462,01 Apr 2019,-0.39,-78.55,EC,68.0,75,63,13.87
64,cape town,3369157,01 Apr 2019,-33.93,18.42,ZA,60.01,0,62,14.99
65,sept-iles,6144312,01 Apr 2019,50.2,-66.38,CA,30.99,90,58,17.22
66,culebra,5494881,01 Apr 2019,34.68,-105.77,US,54.0,1,46,9.17
67,dicabisagan,1715015,01 Apr 2019,17.08,122.42,PH,72.88,88,100,3.09
68,vanimo,2084442,01 Apr 2019,-2.67,141.3,PG,83.86,80,97,16.35
69,castro,3896218,01 Apr 2019,-42.48,-73.76,CL,53.6,90,93,18.34
70,ponerihouen,2138687,01 Apr 2019,-21.08,165.4,NC,78.01,12,100,12.88
71,karratha,6620339,01 Apr 2019,-20.74,116.85,AU,76.21,0,90,7.52
72,posse,3452599,01 Apr 2019,-14.08,-46.36,BR,81.25,64,61,3.04
73,hopelchen,3527065,01 Apr 2019,19.77,-89.85,MX,86.0,20,58,11.41
74,klaksvik,2618795,01 Apr 2019,62.23,-6.59,FO,35.6,68,93,4.7
75,albany,5106834,01 Apr 2019,42.65,-73.75,US,43.0,20,25,19.46
76,savannah bight,3601402,01 Apr 2019,16.45,-85.85,HN,80.71,0,99,11.32
77,saint-joseph,3037456,01 Apr 2019,43.56,6.97,FR,60.01,0,62,2.24
78,hilo,5855927,01 Apr 2019,19.71,-155.08,US,80.01,1,61,5.06
79,tasiilaq,3424607,01 Apr 2019,65.61,-37.64,GL,24.8,0,68,9.17
80,seoul,1835848,01 Apr 2019,37.57,126.98,KR,37.4,1,79,1.12
81,phimai,1607716,01 Apr 2019,15.22,102.49,TH,87.01,48,73,2.24
82,upernavik,3418910,01 Apr 2019,72.79,-56.15,GL,17.44,56,100,7.0
