,city,city_id,date,lat,lon,country,maxTemp,cloudiness,humidity,windSpeed
0,hasaki,2112802,01 Apr 2019,35.73,140.83,JP,275.37,75,93,2.1
1,fairbanks,5861897,01 Apr 2019,64.84,-147.72,US,276.48,1,82,1.5
2,airai,1651810,01 Apr 2019,-8.93,125.41,TL,293.5,24,90,0.67
3,balkanabat,161616,01 Apr 2019,39.51,54.36,TM,283.75,92,94,2.47
4,lagoa,2267254,01 Apr 2019,37.14,-8.45,PT,290.15,20,72,7.7
5,la paz,4000900,01 Apr 2019,24.15,-110.32,MX,303.71,5,30,4.6
6,wanning,3220813,01 Apr 2019,48.64,13.53,AT,285.15,0,75,5.1
7,nhulunbuy,2064735,01 Apr 2019,-12.18,136.78,AU,298.15,75,94,2.6
8,khandyga,2022773,01 Apr 2019,62.65,135.58,RU,256.95,0,64,1.12
9,khanna,1267016,01 Apr 2019,30.7,76.22,IN,293.0,0,55,2.02
10,atuona,4020109,01 Apr 2019,-9.8,-139.03,PF,300.65,68,100,5.52
11,rikitea,4030556,01 Apr 2019,-23.12,-134.97,PF,297.95,44,100,6.09
12,honiara,2108502,01 Apr 2019,-9.43,159.96,SB,296.4,56,100,0.47
13,ushuaia,3833367,01 Apr 2019,-54.81,-68.31,AR,284.15,75,93,2.1
14,qaanaaq,3831208,01 Apr 2019,77.48,-69.36,GL,257.9,44,84,2.64
15,nome,4732862,01 Apr 2019,30.04,-94.42,US,289.15,90,41,4.1
16,mataura,6201424,01 Apr 2019,-46.19,168.86,NZ,282.04,92,83,4.84
17,waipawa,2185329,01 Apr 2019,-39.94,176.59,NZ,285.37,12,89,2.68
18,jamestown,2069194,01 Apr 2019,-33.21,138.6,AU,280.15,0,84,2.49
19,yima,1786676,01 Apr 2019,34.75,111.87,CN,281.8,64,47,2.04
20,salalah,286621,01 Apr 2019,17.01,54.1,OM,300.15,20,69,3.1
21,chokurdakh,2126123,01 Apr 2019,70.62,147.9,RU,255.7,0,53,4.32
22,hobart,2163355,01 Apr 2019,-42.88,147.33,AU,280.37,20,87,4.6
23,port alfred,964432,01 Apr 2019,-33.59,26.89,ZA,290.93,32,76,3.13
24,yellowknife,6185377,01 Apr 2019,62.45,-114.38,CA,267.04,20,62,9.3
25,victoria,1733782,01 Apr 2019,5.28,115.24,BN,298.15,75,88,3.02
26,east london,1006984,01 Apr 2019,-33.02,27.91,ZA,289.15,0,63,8.2
27,labuhan,1641899,01 Apr 2019,-2.54,115.51,ID,295.35,20,97,0.72
28,faanui,4034551,01 Apr 2019,-16.48,-151.75,PF,301.7,88,100,3.09
29,tiksi,2015306,01 Apr 2019,71.64,128.87,RU,259.3,0,68,1.14
30,ribeira grande,3372707,01 Apr 2019,38.52,-28.7,PT,288.15,75,67,7.2
31,hermanus,3366880,01 Apr 2019,-34.42,19.24,ZA,287.59,12,67,2.68
32,busselton,2075265,01 Apr 2019,-33.64,115.35,AU,290.93,92,61,5.07
33,los llanos de aridane,2514651,01 Apr 2019,28.66,-17.92,ES,289.15,90,87,4.6
34,syracuse,5140405,01 Apr 2019,43.05,-76.15,US,275.93,1,43,3.6
35,santa maria,3450083,01 Apr 2019,-29.69,-53.81,BR,304.15,20,58,4.6
36,bredasdorp,1015776,01 Apr 2019,-34.53,20.04,ZA,289.75,68,95,3.97
37,saint-philippe,6138908,01 Apr 2019,45.36,-73.48,CA,274.82,1,40,3.6
38,butaritari,2110227,01 Apr 2019,3.07,172.79,KI,301.2,48,100,4.62
39,avarua,4035715,01 Apr 2019,-21.21,-159.78,CK,300.15,88,78,4.1
40,georgetown,3378644,01 Apr 2019,6.8,-58.16,GY,304.75,0,53,3.74
41,lompoc,5367788,01 Apr 2019,34.64,-120.46,US,298.15,1,49,0.92
42,hithadhoo,1282256,01 Apr 2019,-0.6,73.08,MV,301.8,76,100,2.72
43,kaeo,2189343,01 Apr 2019,-35.1,173.78,NZ,288.71,12,96,3.94
44,petropavlovsk-kamchatskiy,2122104,01 Apr 2019,53.05,158.65,RU,271.15,75,92,2.0
45,leningradskiy,2123814,01 Apr 2019,69.38,178.42,RU,262.5,64,91,5.97
46,shache,1280037,01 Apr 2019,38.42,77.24,CN,282.59,0,31,1.47
47,dharmavaram,1272842,01 Apr 2019,14.41,77.72,IN,295.05,44,82,2.52
48,port blair,1259385,01 Apr 2019,11.67,92.75,IN,298.15,20,83,0.57
49,vetluga,473910,01 Apr 2019,57.85,45.78,RU,270.85,0,87,1.47
50,gabu,1791785,01 Apr 2019,34.78,103.0,CN,271.25,88,85,3.62
51,bluff,2175403,01 Apr 2019,-23.58,149.07,AU,290.8,0,83,4.27
52,kaitangata,2208248,01 Apr 2019,-46.28,169.85,NZ,280.37,68,76,1.79
